utilidad, promedio_productos_Almacén, promedio_productos_Verdurería, promedio_productos_Panadería, promedio_productos_Refrigerados, tiempo_espera_Almacén, tiempo_espera_Verdurería, tiempo_espera_Panadería, tiempo_espera_Refrigerados, tiempo_balanza_Verdurería, tiempo_balanza_Panadería,tiempo_caja_Autoservicio, tiempo_caja_Normal, tiempo_caja_Preferencial, tiempo_permanencia_Normal,tiempo_permanencia_Preferencial
11753558.272256, 8659.486812, 1169.904078, 823.684457, 2361.683235, 0.000000, 0.048281, 0.001884, 0.024022, 0.212563, 0.144737, 3.049357, 6.919851, 6.709507, 44.015879, 41.638740
11935824.172952, 8553.370394, 1101.390774, 662.155853, 2096.045051, 0.000000, 0.199075, 0.055056, 0.134301, 0.323061, 0.220551, 6.393343, 13.090420, 16.003792, 49.714982, 42.791139
12506612.877823, 8231.529187, 945.388240, 759.437566, 2275.435077, 0.000461, 0.291336, 0.039953, 0.043261, 0.303817, 0.235500, 3.998473, 8.699695, 9.490874, 46.332890, 45.036784
11420558.405929, 8688.253075, 935.069341, 809.087977, 2388.411255, 0.000000, 0.060899, 0.043523, 0.023824, 0.190593, 0.204009, 1.661484, 4.146334, 4.486131, 41.813562, 43.818660
12047091.355558, 8782.726233, 973.633637, 780.851766, 2271.696864, 0.014545, 0.499125, 0.070979, 0.138956, 0.319941, 0.197831, 3.041093, 6.548132, 7.221315, 45.670110, 42.845630
12269701.666635, 8564.224773, 936.048670, 747.328329, 2266.881181, 0.000000, 0.420714, 0.026167, 0.131539, 0.232074, 0.197398, 4.188479, 9.871588, 9.967963, 46.698089, 42.059008
10737408.483968, 8994.165132, 1003.149158, 838.371778, 2370.828937, 0.000000, 0.621756, 0.004200, 0.011038, 0.276509, 0.145048, 0.427473, 1.611134, 1.497999, 40.694407, 41.732067
12306493.892677, 8193.191983, 874.611253, 676.762403, 2288.366443, 0.000000, 0.362746, 0.037955, 0.011952, 0.220927, 0.179809, 3.298481, 7.053585, 7.753853, 44.992772, 41.827939
11889611.904854, 8972.241775, 1030.613735, 829.853092, 2134.052629, 0.000000, 0.085648, 0.085556, 0.153976, 0.225614, 0.159099, 2.340209, 5.410990, 6.533781, 42.968920, 45.280893
11950987.779436, 8808.120113, 1044.487090, 851.426404, 2464.817349, 0.000067, 0.158573, 0.109462, 0.068617, 0.216080, 0.184663, 2.419147, 5.837075, 6.068135, 43.265875, 44.496424
12340187.052084, 8008.855345, 1086.930485, 762.624549, 2284.880569, 0.000000, 0.471294, 0.094993, 0.041289, 0.360156, 0.184007, 2.975555, 6.979108, 7.523474, 44.628929, 44.210547
12721240.509941, 8278.084181, 928.177804, 561.133447, 2163.261078, 0.000000, 0.973496, 0.328068, 0.012963, 0.381720, 0.412936, 5.716345, 11.312054, 13.776984, 49.730468, 45.119355
11963767.318912, 8365.884600, 1142.512740, 746.087676, 2374.436211, 0.001782, 0.147407, 0.179828, 0.049570, 0.250374, 0.355894, 4.473530, 9.472808, 10.904391, 45.900758, 44.722115
